,Followers,Likes,Retweets,Sentiment,Tweeter-Handle,text,user_name
0,1640308,1015,395,neutral,A3Noticias,"Rafa Nadal reclama 100.000 euros a Roselyne Bachelot, que como ministra de Deportes francesa le acus de dopaje https://t.co/Nb7YLJpGYh",Antena3Noticias
1,191937,665,311,positive,TennisTV,"Open Era match wins...

Connors - 1256
Federer - 1121
Lendl - 1068
Vilas - 929
McEnroe - 877
Agassi - 870
Nadal - 8 https://t.co/ohwo32XXcr",Tennis TV
2,112403,1253,352,neutral,bet365_es," Estado de forma de Rafa Nadal: 





 Sets jugados - 43
 Sets ganados - 37

 https://t.co/P8qugMY0YK",bet365_es
3,347,0,1832,neutral,xevipuix,"RT @ANC_Bombers: Aquest Nadal, ni un cntim a ""Loterias y apuestas del Estado"". Prou pagar porres i pilotes de goma amb  catalans.",xevi puix
4,36,0,34,neutral,LeonardoOlmer,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,Leonardo Olivar
5,6794,0,0,neutral,lancelot_xbal,Anlisis final Shanghi 2017: Federer-Nadal. #VamosRafa  https://t.co/Ni2poFhveB,Lobo
6,46,0,102,neutral,zahircruzmx,"RT @ATPWorldTour_ES: Diez finales!  

@RafaelNadal pelear por el  del #ShanghaiRolexMasters y busca sumar su #ATPMasters1000 No. 31: h",Cruz
7,204119,0,0,neutral,lalibrebe,Shanghai: ce sera une finale Nadal-Federer https://t.co/ZHfqCFvStJ,lalibre.be
8,254,0,1832,neutral,RicardSadurni,"RT @ANC_Bombers: Aquest Nadal, ni un cntim a ""Loterias y apuestas del Estado"". Prou pagar porres i pilotes de goma amb  catalans.",ritxi
9,13,0,0,neutral,ZdzisOwsianka,@MWardzyniakowa Licz nadal jak skoczysz to mi powiesz. Pozdrwko.,Zdzisaw Owsianka
10,135,0,5,neutral,ferdp_,RT @elespanolcom: Este domingo Nadal disputa la final de #Shanghi ante Federer. En @podium_EE el horario y dnde verlo https://t.co/ZNSGMQ,Fernando De Palacio
11,46,0,130,neutral,zahircruzmx,"RT @goitiatenis: Domingo: Federer y Nadal definen a las 5.30 ARG por ESPN, en Shanghai. Lidera Rafa 23-14, con 14-9 en finales. Roger gan",Cruz
12,437,0,34,neutral,Marciog93,RT @ESPNtenis: #TENISxESPN LA FINAL! Nadal y Federer se miden por el ttulo en Shanghai. El domingo a las 5.30 (BUE) / 3.30 (BOG) por ESPN,CioMar
13,8207,0,0,neutral,ricardowec,Federer y Nadal se enfrentarn por tercera ocasin en el ao https://t.co/A5ZlQbEYIJ https://t.co/bDWDZaeJRG,Ricardo Wagner 
14,0,0,1832,neutral,JoanPescador,"RT @ANC_Bombers: Aquest Nadal, ni un cntim a ""Loterias y apuestas del Estado"". Prou pagar porres i pilotes de goma amb  catalans.",JoanPescador
15,4,0,1832,neutral,AdGrauP,"RT @ANC_Bombers: Aquest Nadal, ni un cntim a ""Loterias y apuestas del Estado"". Prou pagar porres i pilotes de goma amb  catalans.",Adgrau
16,207,0,157,positive,kris_O_H,"RT @ATPWorldTour:  Melbourne
 Indian Wells
 Miami
 Shanghai

Are you ready for #Fedal38?

 https://t.co/RSdvJh1hpY https://t.co/mCIu7",allyssy_linette
